Lat,Lon,Base,Hour,Day,Month,Year,Minute,cluster
40.7778,-73.4128,B02598,14,28,4,2014,21,3
40.7367,-73.6102,B02598,14,28,4,2014,47,3
40.7617,-73.495,B02598,14,28,4,2014,56,3
40.8513,-73.6274,B02598,17,28,4,2014,26,3
40.8035,-73.6457,B02598,20,28,4,2014,8,3
40.7408,-73.6289,B02598,8,29,4,2014,49,3
40.7224,-73.6027,B02598,13,29,4,2014,49,3
40.7241,-73.5877,B02598,16,29,4,2014,27,3
40.7847,-73.6226,B02598,16,29,4,2014,27,3
40.8379,-73.1759,B02598,17,29,4,2014,45,3
40.8309,-73.5959,B02598,19,29,4,2014,1,3
40.7609,-73.5261,B02598,19,29,4,2014,41,3
40.7535,-73.5866,B02598,20,29,4,2014,10,3
40.7783,-73.6611,B02598,21,29,4,2014,36,3
40.801,-73.6393,B02598,0,30,4,2014,41,3
40.8528,-73.6193,B02598,7,30,4,2014,52,3
40.7349,-73.5952,B02598,8,30,4,2014,48,3
40.7169,-73.6017,B02598,10,30,4,2014,22,3
40.7404,-73.6108,B02598,12,30,4,2014,14,3
40.7238,-73.6328,B02598,14,30,4,2014,3,3
40.7831,-73.2875,B02598,14,30,4,2014,16,3
40.8107,-73.6285,B02598,20,30,4,2014,29,3
40.7982,-73.6659,B02598,21,30,4,2014,55,3
40.7756,-73.4244,B02617,15,1,4,2014,19,3
40.7461,-73.6519,B02617,19,1,4,2014,1,3
40.7393,-73.6152,B02617,22,1,4,2014,40,3
40.7259,-73.599,B02617,12,2,4,2014,42,3
40.7195,-73.5833,B02617,16,2,4,2014,43,3
40.7778,-73.4128,B02617,16,3,4,2014,18,3
40.8023,-73.5987,B02617,19,3,4,2014,47,3
40.7881,-73.6508,B02617,12,4,4,2014,51,3
40.7792,-73.4168,B02617,13,4,4,2014,34,3
40.8253,-73.2996,B02617,14,4,4,2014,2,3
40.7791,-73.5736,B02617,17,4,4,2014,24,3
40.6983,-73.5048,B02617,18,4,4,2014,25,3
40.7911,-73.6093,B02617,22,4,4,2014,10,3
40.8373,-73.4975,B02617,22,4,4,2014,40,3
40.7651,-73.647,B02617,21,5,4,2014,26,3
40.7382,-73.6026,B02617,22,5,4,2014,35,3
40.7673,-73.5281,B02617,15,6,4,2014,32,3
40.7417,-73.6085,B02617,7,7,4,2014,56,3
40.7902,-73.4592,B02617,11,7,4,2014,16,3
40.7855,-73.5498,B02617,12,8,4,2014,50,3
41.1013,-73.4199,B02617,19,8,4,2014,28,3
40.7764,-73.5591,B02617,7,9,4,2014,1,3
40.7085,-73.5791,B02617,14,9,4,2014,19,3
40.7972,-73.5163,B02617,16,9,4,2014,14,3
40.746,-73.5747,B02617,21,9,4,2014,33,3
41.1642,-73.2356,B02617,2,10,4,2014,11,3
41.1843,-73.1385,B02617,6,10,4,2014,31,3
40.7491,-73.6194,B02617,7,10,4,2014,58,3
40.7974,-73.5056,B02617,13,10,4,2014,29,3
40.8673,-73.4468,B02617,13,10,4,2014,52,3
40.712,-73.5986,B02617,17,10,4,2014,3,3
40.7316,-73.2769,B02617,2,12,4,2014,24,3
40.7316,-73.2769,B02617,6,12,4,2014,30,3
40.6697,-73.5506,B02617,20,12,4,2014,17,3
40.7526,-73.6098,B02617,22,12,4,2014,22,3
40.7671,-73.5276,B02617,17,14,4,2014,17,3
40.7977,-73.5949,B02617,21,14,4,2014,28,3
40.7306,-73.6037,B02617,13,15,4,2014,0,3
40.8073,-73.6337,B02617,19,15,4,2014,5,3
40.6455,-73.5347,B02617,21,15,4,2014,23,3
40.7441,-73.6171,B02617,14,16,4,2014,18,3
40.8753,-73.5971,B02617,18,16,4,2014,5,3
40.9162,-72.7006,B02617,3,17,4,2014,49,3
40.9162,-72.7006,B02617,8,17,4,2014,0,3
40.7634,-73.425,B02617,11,18,4,2014,30,3
40.6885,-73.6317,B02617,15,18,4,2014,51,3
40.7098,-73.6043,B02617,22,18,4,2014,7,3
40.7979,-73.6663,B02617,22,18,4,2014,59,3
41.1558,-73.2292,B02617,22,19,4,2014,12,3
40.8178,-73.465,B02617,0,20,4,2014,7,3
40.7455,-73.6034,B02617,18,20,4,2014,53,3
40.7787,-73.5513,B02617,20,21,4,2014,22,3
40.7342,-73.599,B02617,14,22,4,2014,46,3
40.784,-73.425,B02617,15,24,4,2014,20,3
40.7788,-73.4209,B02617,12,25,4,2014,54,3
40.7281,-73.2386,B02617,14,25,4,2014,19,3
41.1386,-73.3684,B02617,20,25,4,2014,28,3
41.0976,-73.4263,B02617,21,25,4,2014,14,3
41.102,-73.4199,B02617,22,25,4,2014,52,3
40.8368,-73.5437,B02617,15,26,4,2014,29,3
40.8243,-73.5019,B02617,16,26,4,2014,53,3
40.8855,-73.6289,B02617,23,26,4,2014,11,3
40.7466,-73.5878,B02617,9,27,4,2014,22,3
40.8135,-73.4844,B02617,11,27,4,2014,42,3
40.7433,-73.6394,B02617,9,28,4,2014,10,3
40.8919,-73.525,B02617,13,28,4,2014,40,3
40.7416,-73.5978,B02617,4,29,4,2014,56,3
40.7841,-73.4237,B02617,11,29,4,2014,55,3
40.7246,-73.5597,B02617,16,29,4,2014,25,3
40.8011,-73.6391,B02617,22,29,4,2014,4,3
40.8077,-73.2212,B02617,7,30,4,2014,57,3
40.7435,-73.6182,B02682,12,1,4,2014,39,3
40.7724,-73.6423,B02682,15,1,4,2014,49,3
40.7863,-73.5548,B02682,16,1,4,2014,53,3
40.7187,-73.632,B02682,5,2,4,2014,49,3
40.7764,-73.5593,B02682,7,2,4,2014,41,3
40.7195,-73.5835,B02682,10,2,4,2014,5,3
40.6845,-73.5546,B02682,14,2,4,2014,54,3
40.7438,-73.3225,B02682,19,2,4,2014,19,3
40.739,-73.6112,B02682,21,2,4,2014,19,3
40.8957,-73.4436,B02682,9,3,4,2014,11,3
40.8712,-73.6326,B02682,10,3,4,2014,46,3
40.7735,-73.4642,B02682,11,3,4,2014,24,3
40.7782,-73.5596,B02682,11,3,4,2014,34,3
40.7402,-73.6132,B02682,12,3,4,2014,43,3
40.7264,-73.4172,B02682,14,3,4,2014,23,3
40.7692,-73.5701,B02682,17,3,4,2014,28,3
40.7961,-73.5169,B02682,19,3,4,2014,30,3
40.6774,-73.5098,B02682,13,4,4,2014,40,3
40.7343,-73.5973,B02682,15,4,4,2014,18,3
40.7195,-73.6401,B02682,15,4,4,2014,30,3
40.8109,-73.4799,B02682,18,4,4,2014,0,3
40.7535,-73.5862,B02682,19,4,4,2014,29,3
40.7942,-73.6565,B02682,20,4,4,2014,36,3
40.9403,-73.1283,B02682,22,4,4,2014,38,3
40.6921,-73.57,B02682,9,5,4,2014,10,3
40.7374,-73.6034,B02682,10,5,4,2014,16,3
40.7677,-73.5919,B02682,12,5,4,2014,31,3
40.6855,-73.5675,B02682,15,5,4,2014,3,3
40.7291,-73.6288,B02682,16,5,4,2014,41,3
40.7895,-73.5056,B02682,19,5,4,2014,7,3
40.7898,-73.5099,B02682,20,5,4,2014,0,3
40.7959,-73.6701,B02682,20,5,4,2014,37,3
40.8791,-73.5846,B02682,21,5,4,2014,24,3
40.6357,-73.5824,B02682,21,5,4,2014,39,3
40.7244,-73.6408,B02682,0,6,4,2014,28,3
40.7242,-73.6336,B02682,0,6,4,2014,42,3
40.7766,-73.5592,B02682,10,6,4,2014,26,3
40.7103,-73.2547,B02682,12,6,4,2014,26,3
40.6967,-73.3085,B02682,13,6,4,2014,9,3
40.8159,-73.6459,B02682,14,6,4,2014,46,3
40.8132,-73.6057,B02682,15,6,4,2014,0,3
40.8061,-73.2647,B02682,20,6,4,2014,36,3
40.6239,-73.5984,B02682,5,7,4,2014,29,3
40.7364,-73.6196,B02682,8,7,4,2014,21,3
40.7672,-73.528,B02682,8,7,4,2014,41,3
41.0763,-73.463,B02682,14,7,4,2014,32,3
41.0763,-73.463,B02682,14,7,4,2014,32,3
40.789,-73.4168,B02682,20,7,4,2014,54,3
41.12,-73.4159,B02682,21,7,4,2014,31,3
41.12,-73.4159,B02682,21,7,4,2014,31,3
40.7351,-73.5944,B02682,9,8,4,2014,13,3
40.7195,-73.585,B02682,12,8,4,2014,23,3
40.7634,-73.425,B02682,18,8,4,2014,23,3
40.7244,-73.6406,B02682,22,8,4,2014,18,3
40.8239,-73.5762,B02682,9,9,4,2014,34,3
40.6239,-73.5986,B02682,10,9,4,2014,29,3
40.679,-73.4175,B02682,19,9,4,2014,24,3
40.8099,-73.6258,B02682,19,9,4,2014,49,3
40.7763,-73.5594,B02682,4,10,4,2014,8,3
40.7647,-73.652,B02682,5,10,4,2014,13,3
40.7238,-73.5872,B02682,9,10,4,2014,8,3
40.7622,-73.4951,B02682,14,10,4,2014,18,3
40.7791,-73.4212,B02682,14,10,4,2014,19,3
40.7863,-73.5547,B02682,15,10,4,2014,10,3
40.7443,-73.6488,B02682,16,10,4,2014,0,3
40.7672,-73.5279,B02682,16,10,4,2014,22,3
40.718,-73.6346,B02682,17,10,4,2014,42,3
40.754,-73.562,B02682,22,10,4,2014,44,3
40.7848,-73.4183,B02682,8,11,4,2014,39,3
40.7432,-73.6393,B02682,9,11,4,2014,41,3
40.7175,-73.5938,B02682,10,11,4,2014,50,3
40.7154,-73.6414,B02682,16,11,4,2014,37,3
40.8007,-73.5347,B02682,18,11,4,2014,31,3
40.8722,-73.2232,B02682,20,11,4,2014,10,3
40.8275,-73.4489,B02682,20,11,4,2014,24,3
40.796,-73.5328,B02682,20,11,4,2014,27,3
40.7289,-73.4225,B02682,21,11,4,2014,24,3
40.8037,-73.67,B02682,21,11,4,2014,30,3
40.6745,-73.626,B02682,22,11,4,2014,15,3
40.7567,-73.644,B02682,23,11,4,2014,40,3
40.7567,-73.644,B02682,23,11,4,2014,40,3
41.1302,-73.3583,B02682,10,12,4,2014,34,3
41.1302,-73.3583,B02682,10,12,4,2014,34,3
40.8263,-73.6362,B02682,12,12,4,2014,11,3
40.6915,-73.6273,B02682,13,12,4,2014,22,3
40.7837,-73.4221,B02682,13,12,4,2014,48,3
40.8586,-73.5727,B02682,15,12,4,2014,7,3
40.7118,-73.6248,B02682,15,12,4,2014,10,3
40.8057,-73.2931,B02682,16,12,4,2014,38,3
40.7323,-73.4117,B02682,18,12,4,2014,25,3
40.7531,-73.6433,B02682,20,12,4,2014,29,3
40.7137,-73.2418,B02682,20,12,4,2014,43,3
40.7423,-73.6152,B02682,21,12,4,2014,35,3
40.8039,-73.6452,B02682,22,12,4,2014,4,3
40.6728,-73.5096,B02682,22,12,4,2014,40,3
40.8247,-73.449,B02682,0,13,4,2014,41,3
40.6788,-73.4175,B02682,3,13,4,2014,21,3
40.8587,-73.0791,B02682,13,13,4,2014,32,3
40.746,-73.5948,B02682,15,13,4,2014,43,3
40.7491,-73.6193,B02682,5,14,4,2014,45,3
40.7232,-73.6409,B02682,7,14,4,2014,44,3
40.8156,-73.2378,B02682,15,14,4,2014,33,3
40.8177,-73.4921,B02682,16,14,4,2014,38,3
40.8191,-73.6442,B02682,19,14,4,2014,42,3
40.7945,-73.5001,B02682,19,14,4,2014,54,3
40.6963,-73.5433,B02682,21,14,4,2014,0,3
40.7961,-73.6727,B02682,16,15,4,2014,57,3
40.6731,-73.509,B02682,17,15,4,2014,1,3
40.7538,-73.5021,B02682,17,15,4,2014,27,3
40.7671,-73.5276,B02682,17,15,4,2014,46,3
40.7671,-73.5279,B02682,18,15,4,2014,51,3
40.8108,-73.4953,B02682,20,15,4,2014,17,3
40.791,-73.5497,B02682,20,15,4,2014,23,3
40.7582,-73.628,B02682,20,15,4,2014,58,3
40.6877,-73.6139,B02682,9,16,4,2014,30,3
40.7798,-73.0957,B02682,10,16,4,2014,25,3
40.6239,-73.5985,B02682,15,16,4,2014,42,3
40.7377,-73.3736,B02682,17,16,4,2014,6,3
40.757,-73.549,B02682,21,16,4,2014,19,3
40.8167,-73.604,B02682,22,16,4,2014,31,3
40.8123,-73.6277,B02682,23,16,4,2014,46,3
40.7855,-73.5498,B02682,10,17,4,2014,37,3
40.8157,-73.2378,B02682,15,17,4,2014,32,3
40.7577,-73.5412,B02682,17,17,4,2014,58,3
41.1331,-73.2898,B02682,20,17,4,2014,42,3
40.8112,-73.5825,B02682,20,17,4,2014,55,3
40.7188,-73.6035,B02682,2,18,4,2014,41,3
40.7166,-73.6007,B02682,8,18,4,2014,1,3
40.7404,-73.613,B02682,13,18,4,2014,0,3
40.7168,-73.6019,B02682,13,18,4,2014,4,3
40.7428,-73.1317,B02682,16,18,4,2014,32,3
40.7621,-73.4822,B02682,18,18,4,2014,3,3
40.6239,-73.5986,B02682,18,18,4,2014,42,3
40.7573,-73.6346,B02682,19,18,4,2014,27,3
40.6438,-73.5244,B02682,20,18,4,2014,56,3
40.8243,-73.5021,B02682,4,19,4,2014,18,3
40.717,-73.6013,B02682,6,19,4,2014,41,3
40.7417,-73.6085,B02682,12,19,4,2014,42,3
40.8001,-73.651,B02682,14,19,4,2014,11,3
40.755,-73.6325,B02682,14,19,4,2014,26,3
40.8073,-73.622,B02682,18,19,4,2014,51,3
40.6838,-73.4212,B02682,21,19,4,2014,0,3
40.8143,-73.4777,B02682,21,19,4,2014,45,3
40.8029,-73.6623,B02682,0,20,4,2014,50,3
40.7169,-73.6017,B02682,9,20,4,2014,21,3
